"","FTR.Close","UBSI.Close","INO.Close","GRPN.Close","FFIN.Close","GOOG.Close","ONCY.Close","ARWR.Close","COST.Close","AAL.Close","CSSEP.Close","MSFT.Close","DLTR.Close","KGJI.Close","AMZN.Close","ROST.Close","TMUS.Close","PBYI.Close","NFLX.Close","HOFT.Close","SDC.Close","RRGB.Close","JBLU.Close"
"90",232.350006,34.25,14.88,NA,6.803333,232.498535,19.190001,68,54.970001,33.360001,NA,30.889999,13.916667,1.02,61.560001,8.425,61.82,NA,3.151428,23.5,NA,39.970001,10.73
"91",231.75,33.970001,14.96,NA,6.753334,230.027802,19.855,63.900002,54.700001,33.529999,NA,30.969999,13.83,1.02,61.700001,8.2925,63.84,NA,3.137143,22.719999,NA,39.73,10.71
"92",234,33.52,14.8,NA,6.7,228.144852,19.76,61.299999,54.209999,32.450001,NA,30.9,13.63,1.02,60.580002,8.255,68.419998,NA,3.107143,22.57,NA,39.27,10.55
"93",232.800003,33.990002,14.44,NA,6.75,235.422577,19.76,64.199997,54.810001,32.98,NA,31.07,13.713333,1.02,63.220001,8.395,68.720001,NA,3.102857,23,NA,39.189999,10.72
"94",231.899994,33.549999,14.64,NA,6.75,234.600662,19.475,65.900002,55.580002,33.27,NA,30.98,13.72,1.02,62.169998,8.4725,72.800003,NA,3.117143,22.959999,NA,38.509998,10.83
"95",233.850006,33.630001,14.88,NA,6.695,234.28186,20.139999,70,56.41,33.48,NA,30.83,13.783334,1.02,63.299999,8.63,73.160004,NA,3.134286,23,NA,38.669998,10.69
"96",234.449997,33.860001,15.88,NA,6.82,234.421326,19.950001,70.800003,55.77,33.009998,NA,31.049999,13.926666,1.02,68.300003,8.615,69.080002,NA,3.214286,23.559999,NA,39.68,10.46
"97",237,34.130001,16.68,NA,6.868333,237.041504,20.33,70.199997,55.950001,34.77,NA,30.690001,13.97,1.02,68.879997,8.525,67.419998,NA,3.285714,24.77,NA,40.259998,11.1
"98",238.649994,33.91,16.440001,NA,6.775,236.100037,19.379999,66.800003,56.02,34.950001,NA,30.58,14.133333,1.02,69,8.485,67.160004,NA,3.312857,24.5,NA,39.959999,10.9
"99",234,33.439999,16.4,NA,6.673333,236.279373,19.379999,64.599998,56.299999,35.130001,NA,30.17,13.86,1.02,69.349998,8.1925,67.860001,NA,3.22,24.52,NA,39.52,10.83
"100",235.050003,33.619999,16.4,NA,6.708333,240.857208,19.285,64.800003,56.400002,34.25,NA,30.48,13.85,1.02,68.550003,8.065,70.019997,NA,3.217143,24.75,NA,42.830002,10.84
"101",235.199997,33.77,15.4,NA,6.763333,242.645508,20.235001,66.5,56.57,35.599998,NA,30.790001,14.323334,1.02,69.629997,8.055,67.800003,NA,3.121428,24.74,NA,42.869999,10.88
"102",237.449997,33.740002,14.48,NA,6.785,248.369049,19.475,71.900002,56.529999,35.66,NA,31.110001,14.356667,1.02,69.860001,8.16,71.639999,NA,3.151428,24.48,NA,42.990002,10.87
"103",237.75,33.75,14.48,NA,6.756667,248.025345,19.57,76,56.470001,35.650002,NA,30.690001,14.103333,1.02,69.139999,8.21,71.32,NA,3.128572,24.74,NA,42.93,10.78
"104",237,34.119999,14.2,NA,6.801667,249.265686,20.33,74.699997,56.290001,35.25,NA,30.59,14.136666,1.02,68.580002,8.2125,73.18,NA,3.081429,24.33,NA,42.950001,10.7
"105",237.600006,34.09,13.72,NA,6.75,252.588242,19.76,72.5,56.119999,33.950001,NA,30.719999,14.16,1.02,70.419998,8.1475,73.360001,NA,3.068571,24.52,NA,43.5,10.44
"106",235.5,33.310001,8.8,NA,6.61,258.451263,21.469999,73.5,55.450001,33.529999,NA,30.58,14.516666,1.02,73.650002,8.02,70.519997,NA,3.055714,24.08,NA,43.25,10.38
"107",231,33.049999,10.92,NA,6.591667,258.157349,20.805,73.199997,55.82,32.630001,NA,30.290001,15.19,1.02,72.290001,7.845,67.779999,NA,3.228571,23.92,NA,42,10.31
"108",225.300003,32.48,11.24,NA,6.483333,256.568329,20.615,70,55.259998,30.200001,NA,29.620001,14.556666,1.02,72.040001,7.78,65.059998,NA,3.418571,20.4,NA,40.68,10.06
"109",229.5,32.919998,11.56,NA,6.618333,256.782501,20.615,67,56.009998,30.889999,NA,30.049999,14.54,1.02,73.239998,7.8375,65.099998,NA,3.347143,20.690001,NA,42.25,10.22
"110",228.149994,32.889999,11.12,NA,6.548333,254.715271,20.33,68.300003,55.700001,29.66,NA,30.02,14.723333,1.4,71.169998,7.7875,67.540001,NA,3.132857,20.709999,NA,41.599998,10.21
"111",226.350006,32.189999,10.36,NA,6.463333,251.442535,19.665001,67.199997,55.16,29.190001,NA,29.85,14.32,1.4,70.07,7.6675,66.239998,NA,2.868572,20.27,NA,40.580002,10.19
"112",228,32.380001,10.56,NA,6.52,251.676651,19.285,67.699997,55.970001,28.719999,NA,30.389999,14.5,1.4,70.889999,7.8175,67.580002,NA,2.774286,20.610001,NA,41.169998,10.33
"113",227.25,32.25,10.88,NA,6.521667,250.48114,19.094999,67.699997,55.759998,28.799999,NA,30.52,14.666667,1.4,71.940002,7.7725,65.860001,NA,2.74,21.059999,NA,41,10.6
"114",227.100006,32.779999,11.2,NA,6.676667,252.000443,19,66.599998,56.09,27.610001,NA,30.49,14.45,1.1,72.400002,7.795,71.199997,NA,2.815714,21.25,NA,40.02,10.51
"115",228.600006,32.43,11.2,NA,6.646667,256.638062,19.190001,66.199997,56,27.290001,NA,30.51,14.513333,1.1,71.830002,7.8575,71.239998,NA,2.86,21.959999,NA,40,10.46
"116",228.300003,32.509998,11.4,NA,6.596667,256.194733,19.190001,64.5,56.330002,29.139999,NA,30.459999,14.283334,1.1,69.809998,7.8175,67.980003,NA,2.847143,22.34,NA,40.110001,10.83
"117",226.350006,32.119999,10.8,NA,6.406667,254.032822,19,61.25,56.349998,29.709999,NA,30.01,14.08,1.1,69.099998,7.8475,65.279999,NA,2.792857,22.059999,NA,38.869999,11.11
"118",228.899994,31.959999,11.2,NA,6.363333,256.095093,19,61.400002,57.189999,29.5,NA,30.219999,14.22,1.1,69.669998,7.8425,67.239998,NA,2.855714,22.190001,NA,38.77,11.27
"119",225.899994,31.559999,11.52,NA,6.34,261.509796,18.905001,56.700001,57.169998,29.34,NA,29.49,14.006667,1.1,68.860001,7.8275,67.660004,NA,2.811429,21.610001,NA,38.57,11.37
