"","TGT.Close","HD.Close","JPM.Close","XOM.Close","CVX.Close","MGM.Close","TEVA.Close","HST.Close","WFC.Close","WWE.Close","WM.Close","S.Close","F.Close","JWN.Close","NUS.Close","KSS.Close","LUV.Close","HMC.Close","PCG.Close","NKE.Close","WMT.Close","TJX.Close","TM.Close","T.Close","JNJ.Close","C.Close","EPD.Close","VZ.Close","HRB.Close","AAP.Close","SIG.Close","M.Close"
"3110",74.639999,194.580002,112.510002,76.559998,121.989998,25.629999,14.36,19.209999,47.150002,84.029999,106.989998,6.19,10.38,39.369999,53.990002,67.059998,52.740002,26.09,18.6,83.949997,101.910004,54.240002,119.269997,30.620001,139.050003,67.900002,28.73,56.91,27.190001,158.119995,22.879999,22.459999
"3111",71.68,190.339996,109.449997,75.709999,120.440002,25.360001,12.23,18.83,46.330002,80.779999,106.5,6.02,10.08,37.599998,52.59,64.400002,51.040001,25.42,18.23,82.529999,99.889999,52.48,118.260002,30.469999,137.199997,64.379997,28.469999,56.75,27.17,155.369995,20.16,21.58
"3112",71.260002,191.619995,110.32,75.809998,121.639999,25.93,12.1,18.99,46.490002,79.989998,106.260002,5.99,10.24,38.049999,52.419998,65.5,51.650002,25.620001,18.360001,83.669998,100.290001,52.580002,119.07,31.09,136.820007,65.260002,28.58,56.549999,27.139999,155.75,20.6,21.799999
"3113",70.809998,191.759995,109.900002,76.370003,122.139999,26.1,11.44,19.280001,45.84,81.220001,107.290001,6.07,10.36,37.43,53.459999,64.220001,52.009998,25.83,18.059999,84.010002,99.879997,52.34,120.639999,31.25,136.910004,64.870003,28.690001,56.810001,27.4,155.830002,20.870001,21.700001
"3114",70.779999,192.380005,111.309998,76.360001,120.800003,26.530001,11.42,19.34,45.900002,81.650002,108,6.08,10.4,36.93,52.5,63.77,52.59,25.77,18.17,84.279999,101.309998,52.689999,119.900002,31.620001,138.210007,65.980003,28.91,57.380001,27.440001,157.279999,20.33,21.5
"3115",70.889999,192.580002,110.769997,75.910004,120.519997,25.889999,11.63,19.18,45.700001,80.080002,108.129997,6.18,10.29,37.09,51.110001,63.599998,52.240002,25.629999,17.02,84.57,100.860001,53.040001,118.400002,31.799999,138.610001,65.07,28.92,58.09,27.02,157.970001,19.99,21.77
"3116",72.080002,190.949997,111.349998,75.900002,120.839996,25.35,11.49,18.969999,45.450001,78.559998,108.400002,7.34,10.28,37.459999,51.529999,62.91,52.009998,25.530001,17.68,82.849998,101.519997,52.970001,118.110001,32.189999,138.419998,64.959999,28.59,59.009998,26.98,158.639999,20.459999,21.58
"3117",71.959999,191.449997,111.730003,76.25,121.339996,25.780001,11.86,19.18,46.330002,79.099998,109.290001,7.22,10.24,37.849998,51.630001,55.150002,53.369999,25.709999,18.450001,83.639999,101.120003,53.259998,118.25,32.41,138.119995,66.080002,28.83,59.5,27.34,161.300003,21.15,21.77
"3118",77.559998,188.910004,110.82,75.559998,120.57,25.82,11.54,19.120001,46.099998,77.459999,109.43,6.67,9.97,34.349998,51.380001,53.439999,52.57,25.540001,19,83.199997,102.230003,51.720001,117.32,32.279999,138.759995,64.660004,28.629999,59.25,26.959999,166.289993,20.940001,21.85
"3119",79.400002,192,108.639999,73.790001,117.870003,25.370001,11.04,19.139999,45.560001,76.639999,109.589996,6.95,9.85,33.810001,50.360001,51.150002,50.959999,25.280001,18.99,82.639999,101.860001,52.16,117.470001,32.139999,139.789993,63.900002,28.209999,58.869999,27.219999,159.800003,21.1,21.27
"3120",81.57,193.589996,109.709999,74.099998,118.709999,25.540001,10.87,19.26,46.169998,75.870003,108.43,7.16,9.83,33.5,49.779999,51.119999,51.150002,25.440001,18.83,82.160004,102.669998,51.619999,118.550003,32.27,138.850006,64.389999,28.34,59.32,27.540001,158.089996,21.450001,21.01
"3121",80.769997,191.550003,108.519997,72.610001,118.309998,25.32,9.52,18.879999,45.59,74.099998,108.169998,6.91,9.78,32.98,48.540001,51.110001,50.029999,25.1,17.73,81.199997,102.419998,50.07,119.400002,31.93,137.070007,63.790001,28.1,58.73,27.1,154.559998,20.84,21.040001
