"","FTR.Close","UBSI.Close","INO.Close","GRPN.Close","FFIN.Close","GOOG.Close","ONCY.Close","ARWR.Close","COST.Close","AAL.Close","CSSEP.Close","MSFT.Close","DLTR.Close","KGJI.Close","AMZN.Close","ROST.Close","TMUS.Close","PBYI.Close","NFLX.Close","HOFT.Close","SDC.Close","RRGB.Close","JBLU.Close"
"78",0.79,38.700001,3.21,2.37,35.099998,1367.369995,3.95,63.119999,291.48999,29.09,25.683001,160.619995,93.779999,1.56,1898.01001,116.830002,78.589996,8.43,329.809998,25.74,8.32,33,18.889999
"79",0.74,38.18,2.98,2.29,34.849998,1360.660034,3.69,61.560001,291.730011,27.65,25.700001,158.619995,93.029999,1.53,1874.969971,116.860001,78.169998,8.35,325.899994,25.059999,8.38,32.700001,18.57
"80",0.76,38.02,3.14,2.31,34.52,1394.209961,4.28,59.435001,291.809998,27.32,25.73,159.029999,93.029999,1.55,1902.880005,117.43,78.620003,8.06,335.829987,25.049999,10.19,33.23,18.48
"81",0.75,37.349998,3.15,2.35,34.139999,1393.339966,4,59.580002,291.350006,27.219999,25.797001,157.580002,91.93,1.51,1906.859985,118.800003,78.919998,8.21,330.75,24.370001,10.14,33.25,18.41
"82",0.71,37.610001,3.14,2.41,34.509998,1404.319946,3.77,59.799999,294.690002,27.84,25.639999,160.089996,89.790001,1.53,1891.969971,119.150002,79.419998,8.14,339.26001,24.17,10.6,32.869999,18.5
"83",0.69,37.509998,3.1,2.51,34.549999,1419.829956,4,58.939999,299.420013,27.950001,25.701,162.089996,91.059998,1.51,1901.050049,122.129997,79.809998,8.69,335.660004,23.9,9.825,33.549999,18.709999
"84",0.66,37.209999,3.11,2.5,34.360001,1429.72998,3.96,58.009998,297.23999,27.32,25.799999,161.339996,91.349998,1.5,1883.160034,120.720001,79,8.42,329.049988,23.98,9.22,33.009998,18.709999
"85",0.66,37.59,3.31,2.64,34.689999,1439.22998,3.51,56.66,299.869995,27.389999,25.9,163.279999,90.769997,1.57,1891.300049,119.970001,79.400002,7.71,338.920013,24.49,10.2,34.23,18.6
"86",0.65,37.509998,3.29,2.66,34.400002,1430.880005,2.87,57.5,299.75,27.530001,25.825001,162.130005,90.57,1.93,1869.439941,118.959999,79.800003,8.34,338.690002,24.709999,11.7,34,18.52
"87",0.69,37.389999,3.35,2.72,34.049999,1439.199951,3.1,56.93,300.820007,27.58,25.85,163.179993,90.75,2.09,1862.02002,117.769997,80.269997,8.36,339.070007,25.18,13.72,35.200001,18.700001
"88",0.69,38.060001,3.4,2.8,35.07,1451.699951,3.18,57.110001,303.029999,28.23,25.959999,166.169998,91.080002,1.82,1877.939941,118.050003,81.440002,8.9,338.619995,25.17,13.26,35.5,19
"89",0.64,37.790001,3.29,3.01,34.919998,1480.390015,3.1,56.419998,304.679993,28.4,26.031,167.100006,91.550003,1.74,1864.719971,117.68,82.150002,9.73,339.670013,25.290001,12.895,34.950001,19.209999
"90",0.59,37.119999,3.56,3.14,34.110001,1484.400024,3.55,47.59,313.26001,27.200001,26.25,166.5,89.5,1.43,1892,117.800003,82.029999,9.79,338.109985,25.17,12.73,34.389999,19.049999
"91",0.57,37.220001,3.44,3.03,34.110001,1485.949951,3.35,47.580002,311.890015,27.32,25.955,165.699997,89.870003,1.45,1887.459961,117.410004,82.489998,9.15,326,25.49,13.5,33.830002,19.790001
"92",0.59,37.200001,3.84,3.02,34.139999,1486.650024,3.46,46.209999,312.880005,28.799999,25.983999,166.720001,87.940002,1.47,1884.579956,118.209999,82.18,8.82,349.600006,25.5,13.69,34.799999,21.07
"93",0.58,36.549999,4.24,2.97,34.560001,1466.709961,3.27,44.610001,310.51001,27.639999,25.75,165.039993,87.709999,1.5,1861.640015,115.760002,81.580002,8.1,353.160004,25.280001,13.07,34.790001,20.65
