stockSymbol,stockName,dailyClose,volatility,avgVolume
AGNCO,AGNC Investment C...,16.08,75.873,"107,383"
AGNCP,AGNC Investment C...,15.01,81.029,"578,279"
AGO,Assured Guaranty ...,20.38,78.427,"693,867"
AGR,"Avangrid, Inc.",46.48,30.316,"733,058"
AGRO,Adecoagro S.A.,4.07,84.711,"381,076"
AGRX,Agile Therapeutic...,1.62,86.869,"4,249,862"
AGS,"PlayAGS, Inc.",1.35,192.389,"458,830"
AGTC,Applied Genetic T...,2.79,91.928,"1,637,057"
AGX,"Argan, Inc.",42.14,36.195,"134,060"
AGYS,"Agilysys, Inc.",14.85,100.611,"262,084"
AHC,A.H. Belo Corpora...,1.74,63.808,"42,193"
AHCO,AdaptHealth Corp.,11.49,44.672,"70,589"
AHH,Armada Hoffler Pr...,9.13,96.566,"335,343"
AHPI,Allied Healthcare...,25,186.459,"1,429,957"
AHT,Ashford Hospitali...,1.25,151.318,"754,857"
AI,Arlington Asset I...,2.13,122.926,"537,632"
AIC,Arlington Asset I...,14.99,88.789,"7,310"
AIG,American Internat...,20.6,103.97,"7,448,616"
AIH,Aesthetic Medical...,8.63,44.507,"107,960"
AIHS,Senmiao Technolog...,0.31,78.231,"223,771"
AIKI,AIkido Pharma Inc...,0.62,194.155,"4,789,717"
AIM,AIM ImmunoTech Inc.,2.05,200.928,"9,389,385"
AIMC,"Altra Holdings, Inc.",15.94,107.302,"409,440"
AIMT,Aimmune Therapeut...,12.18,105.938,"1,882,895"
AIN,Albany Internatio...,39.25,89.357,"304,112"
AINC,Ashford Inc.,6,153.158,"13,176"
AIR,AAR Corp.,12.88,141.485,"264,849"
AIRG,"Airgain, Inc.",6.98,42.706,"59,235"
AIRI,Air Industries Group,0.74,76.575,"227,844"
AIRT,"Air T, Inc.",12.93,66.755,"4,403"
AIRTP,"Air T, Inc. - Air...",19.5,27.889,"2,045"
AIT,Applied Industria...,36.5,75.387,"257,400"
AIV,Apartment Investm...,31.19,61.037,"1,299,171"
