"","TGT.Close","HD.Close","JPM.Close","XOM.Close","CVX.Close","MGM.Close","TEVA.Close","HST.Close","FCAU.Close","WFC.Close","WWE.Close","QSR.Close","SCE.PB.Close","WM.Close","S.Close","GM.Close","F.Close","JWN.Close","NUS.Close","AMC.Close","KSS.Close","LUV.Close","HMC.Close","PCG.Close","NKE.Close","WMT.Close","TJX.Close","TM.Close","T.Close","JNJ.Close","C.Close","EPD.Close","VZ.Close","HRB.Close","AAP.Close","SIG.Close","M.Close","YELP.Close"
"267",81.5,125.889999,58.610001,82.18,93.940002,20.34,57.98,16.049999,7.27,48.509998,17.48,37.580002,24.18,57.669998,3.73,30.82,13.15,57.009998,33.98,28.950001,49.459999,42.259998,27.639999,57.040001,58.880001,67.410004,37.75,107.080002,38.310001,107.139999,41.369999,23.26,52.32,28.07,156.149994,109.650002,44.200001,19.790001
"268",81.870003,128.460007,59.34,82.190002,94.580002,20.809999,58.950001,16.629999,7.6,50.07,17.75,38.490002,23.48,58.400002,3.71,31.26,13.29,56.490002,35.23,29.540001,49.080002,43.330002,28.23,57.32,60.080002,67.169998,37.744999,109.260002,38.360001,107.709999,42.990002,24.059999,52.529999,28.17,158.570007,111.209999,44.349998,20.629999
"269",81.650002,129.710007,59.200001,82.82,94.269997,20.67,57.130001,16.559999,7.6,49.98,17.77,37.419998,24.0035,58.669998,3.55,31.049999,13.23,56.77,36.740002,28.879999,47.700001,43.619999,27.639999,57.48,61.400002,68.089996,38.025002,107.220001,38.52,107.760002,42.59,23.879999,52.669998,27.23,158.580002,111.550003,43.110001,19.92
"270",82.389999,130.449997,58.919998,82.870003,95.400002,21.200001,55.32,16.91,7.83,49.540001,17.870001,38.389999,24.15,58.830002,3.57,31.690001,13.5,56.849998,36.75,29,47.73,44.150002,27.41,58.060001,61.860001,67.989998,38.16,107.540001,38.77,107.410004,42.23,24.65,53.209999,27.09,158.960007,113.519997,43.5,20.459999
"271",83.019997,130.880005,58.75,84.099998,96.889999,20.950001,53.5,16.75,7.83,49.73,18.74,38.84,23.727501,58.779999,3.4,31.959999,13.47,58.220001,37,28.98,48.25,43.599998,27.68,59,63.18,67.449997,38.610001,107.93,39.119999,106.739998,42.849998,25.200001,53.630001,27.01,157.940002,116.050003,43.970001,21.049999
"272",82.709999,131.350006,60.48,84.199997,97.690002,21.42,54.080002,16.969999,8.07,50.540001,18,39.139999,24.1499,58.599998,3.26,31.959999,13.64,58.52,36.75,29.41,48.169998,44.5,27.58,58.740002,62.990002,66.949997,38.959999,106.599998,38.560001,107.5,43.540001,25.5,53.240002,27.370001,157.470001,117.43,44.869999,20.76
"273",82.199997,131.009995,60.459999,83.620003,96.440002,20.969999,54.220001,16.82,7.99,50.669998,17.85,38.59,24,58.73,3.21,32.080002,13.66,57.669998,37.560001,28.85,47.91,44.990002,27.68,58.580002,64.720001,67.970001,38.924999,107.139999,38.919998,107.279999,43.599998,24.690001,53.439999,27.58,158.610001,118.029999,44.150002,20.5
"274",81.699997,130.589996,60.240002,84.120003,95.5,21.24,54.779999,16.48,7.98,50.369999,17.620001,38.48,23.5,58.459999,3.37,31.9,13.59,56.75,37.759998,28.35,47.07,44.610001,27.59,58.57,64.900002,67.870003,38.904999,108.599998,38.630001,107.379997,43.380001,25.129999,53.209999,26.969999,158.190002,118.290001,43.779999,20.309999
"275",81.5,130.220001,59.939999,83.75,93.589996,20.76,54.049999,16.18,7.77,49.759998,17.35,38.009998,23.870001,58.91,3.15,31.309999,13.26,56.040001,37.470001,27.969999,46.709999,44.43,27.040001,58.959999,62.439999,67.459999,38.860001,108.099998,38.540001,108.5,42.369999,24.299999,52.91,26.99,161.089996,118.010002,43.419998,19.299999
"276",82.040001,130.460007,59.48,83.980003,94.849998,20.52,54.290001,16.18,7.62,48.900002,17.120001,37.630001,23.549999,59.110001,3.26,30.959999,13.06,55.970001,36.82,28.059999,45.93,44.060001,26.690001,58.849998,61.650002,68,38.560001,106.32,38.880001,108.309998,41.939999,24.549999,53.560001,26.610001,161.820007,121.419998,43.48,19.540001
