"","FTR.Close","UBSI.Close","INO.Close","FFIN.Close","GOOG.Close","ONCY.Close","ARWR.Close","COST.Close","AAL.Close","MSFT.Close","DLTR.Close","KGJI.Close","AMZN.Close","ROST.Close","NFLX.Close","HOFT.Close","RRGB.Close","JBLU.Close"
"559",103.800003,18,1.24,8.096666,173.649124,12.73,4.6,47.540001,2.71,18.33,13.793333,0.1,75.580002,8.8275,6.2,9.26,17,3.98
"560",103.199997,17.18,1.36,7.66,172.936783,12.445,4.75,46.360001,2.6,17.93,13.47,0.1,72.809998,8.7625,6.202857,8.62,16.66,3.85
"561",104.099998,17.700001,1.24,7.845,171.392578,12.73,4.6,46.810001,2.62,17.879999,14.08,0.1,72.400002,8.72,5.937143,8.7,17.4,4.07
"562",104.25,18.09,1.48,8.026667,175.985367,12.16,4.9,48.459999,2.8,18.83,14.573334,0.1,73.690002,9.175,5.964286,9.25,19.15,4.36
"563",104.699997,17.91,1.52,7.796667,173.200806,12.065,5.4,47.400002,2.67,18.129999,14.61,0.1,70.519997,9.17,5.668571,8.25,18.41,4.16
"564",105.599998,16.6,1.44,7.7,170.705154,12.16,5,46.25,2.44,17.48,14.973333,0.1,71.440002,9.1,6.004286,7.76,17.57,3.84
"565",107.699997,17.24,1.56,8.028334,173.380127,11.97,5.6,46.32,2.53,18.370001,14.85,0.1,73.440002,8.97,6.131429,8.44,17.629999,3.65
"566",110.550003,18.389999,1.48,8.141666,176.383865,11.685,6.3,46.349998,2.6,19.309999,14.52,0.1,73.5,9.07,6.124286,8.61,18.290001,3.64
"567",115.5,18.92,1.56,8.193334,180.573166,11.685,7.02,48.07,2.83,19.290001,14.416667,0.1,76.339996,9.25,6.161428,9.51,19.799999,4.35
"568",114.75,19.110001,1.56,8.291667,184.19957,12.445,6.2,48.91,2.97,18.75,14.083333,0.1,78.169998,9.2375,6.152857,9.22,19.66,4.41
"569",114.150002,18.299999,1.48,8.051666,183.432449,12.35,6.1,47.740002,3.14,18.76,14.14,0.1,77.989998,9.41,6.357143,9.23,19.129999,4.41
"570",110.849998,17.360001,1.52,7.753334,178.65535,13.015,6,46.389999,3.04,18.76,14.67,0.1,75.510002,9.1275,6.242857,9.09,18.280001,4.16
"571",110.550003,17.370001,1.52,7.883333,180.324097,13.49,6.2,47.700001,3.1,19.190001,14.556666,0.1,76.980003,9.4675,6.325714,9.25,20.290001,4.41
"572",115.199997,19.57,1.32,8.488334,185.554489,13.49,6,46.900002,3.46,19.67,14.696667,0.1,79.769997,9.92,6.707143,9.91,22.809999,4.93
"573",114.150002,20.17,1.56,8.546667,188.349014,13.11,5.5,46.41,3.62,19.59,14.626667,0.1,78.940002,9.755,7.06,9.71,23.73,4.93
"574",108.300003,18.620001,1.56,7.928333,183.766205,13.49,6.1,45.349998,3.37,19.35,14.353333,0.1,77.220001,9.7575,6.828571,9.16,22.450001,4.59
"575",109.650002,19.43,1.48,8.131667,189.041428,13.3,5.9,45.66,3.7,18.83,14.22,0.1,74.709999,9.7075,6.655715,9.29,20.469999,5.15
"576",108.449997,20.690001,1.24,8.276667,193.64418,13.395,5.8,46.23,3.81,19.76,14.526667,0.1,77.25,9.835,6.895714,9.33,22.059999,5.36
"577",107.699997,21.73,1.4,8.381667,195.387634,13.965,5.7,45.77,3.97,19.200001,14.223333,0.1,78.050003,9.7875,6.975714,9.38,23.23,5.41
"578",100.949997,19.01,1.32,7.923333,188.941803,14.44,5.02,44.34,3.58,18.610001,14.433333,0.1,77.57,9.6475,7.087143,9.01,21.32,5.1
"579",105.449997,20.18,1.32,8.313334,190.022751,16.719999,5.6,46.459999,4.18,18.969999,14.35,0.1,78.739998,9.9175,6.657143,9.95,22.780001,5.47
"580",105.449997,19.620001,1.52,8.2,191.213287,15.675,5.5,47.07,4.36,18.780001,14.496667,0.1,79.199997,9.965,6.554286,9.79,24.5,5.58
"581",106.199997,20.809999,1.52,8.186666,191.62674,17.1,5.5,46.830002,4.8,18.92,14.306666,0.1,80.610001,9.87,6.474286,10.01,23.860001,5.65
"582",107.550003,23.469999,1.44,8.368333,194.017776,17.195,4.9,48.169998,4.84,20.91,14.193334,0.1,84.459999,9.7575,6.104286,11.15,25.32,5.53
"583",105.599998,23.360001,1.72,8.366667,192.254379,17.67,4,47.639999,4,20.4,14.363334,0.1,83.120003,9.625,6.624286,10.34,24.299999,4.98
"584",105.449997,23.559999,1.52,8.25,191.138565,16.815001,6.3,47.07,3.84,19.93,14.633333,0.1,82.400002,9.775,6.597143,11.26,23.969999,4.94
"585",107.099998,25.610001,1.44,8.585,195.004074,16.719999,5.9,47.669998,3.99,20.25,14.346666,0.1,79.790001,9.31,6.461429,11.1,24.639999,5.15
"586",106.650002,25.940001,1.48,8.213333,197.245682,16.530001,6.4,48.599998,3.79,20.26,14.113334,0.1,80.519997,9.485,6.472857,11.72,24.549999,4.93
"587",106.5,23.860001,1.64,8.073334,196.109924,15.96,6.8,47.689999,4.01,20.24,13.843333,0.1,78.959999,9.4975,6.354286,11.75,22.709999,5.03
"588",111.75,26.59,2.2,8.5,200.239456,16.055,6.8,47.709999,4.58,20.190001,14.393333,0.1,79.769997,9.675,6.42,12.34,24.049999,5.5
"589",110.699997,26.33,1.96,8.206667,200.742569,16.34,6.9,47.650002,4.95,19.790001,14.406667,0.1,81.900002,9.575,6.444286,12.63,24.58,6.05
"590",114,27.209999,1.72,8.475,200.981674,16.530001,6.86,46.869999,5,19.790001,14.26,0.1,81.989998,9.505,6.141428,13.02,24.24,6.04
"591",117.449997,24.639999,1.88,8.166667,197.564484,16.815001,6.6,45.93,3.97,19.32,14.45,0.1,79.279999,9.175,5.71,12.75,23.450001,5.85
"592",119.849998,27.030001,2.08,8.391666,202.904465,16.625,6.7,46.599998,3.69,19.42,14.12,0.1,77.949997,9.1175,5.745714,13.94,22,6.23
"593",116.25,25.48,2.08,8.306666,203.228256,16.245001,6.6,46.02,3.75,19.32,14.326667,0.1,78.610001,9.0575,5.657143,12.58,21.49,5.96
"594",113.550003,24.34,1.88,8.125,198.759995,16.055,6.4,46.91,3.41,19.889999,14.126667,0.1,77.93,8.9675,5.761428,12.08,20.23,5.37
"595",109.349998,22.52,2.16,7.766667,194.042679,15.77,5.8,45.650002,2.98,19.75,13.956667,0.1,74.190002,8.83,5.378572,11.56,19.959999,5.09
"596",108.599998,23.030001,2.2,7.931667,193.026489,15.675,5.5,44.799999,3.16,20.059999,14.006667,0.1,75.110001,8.8075,5.297143,11.95,19.93,5.2
"597",107.699997,22.719999,2.16,7.83,194.27182,15.295,4.9,44.75,3.04,20.219999,14.066667,0.1,73.599998,8.7975,5.5,11.54,20.07,5.06
"598",108,23.969999,2.12,8.388333,197.679047,14.82,5.4,46.09,3.16,20.6,14.056666,0.1,75.949997,9.0375,5.538571,12.04,21.48,5.16
"599",110.099998,22.59,1.64,8.125,198.695236,15.675,6,47.209999,3.1,20.309999,14.236667,0.1,77.870003,9.1775,5.661428,12.16,21.77,5.1
"600",110.25,21.18,1.8,7.941667,197.848419,16.055,6.1,48.779999,3,20.379999,14.02,0.1,77.970001,8.9525,5.75,11.33,21.440001,4.95
"601",105.75,20.719999,1.92,7.87,197.509689,15.675,6.3,48.310001,2.99,19.82,14.15,0.1,75.959999,9.6775,5.587143,11.27,21.610001,4.91
"602",105.150002,20.280001,1.76,7.838333,196.015289,16.15,6.2,48.299999,2.89,19.75,14.223333,0.1,75.639999,9.745,5.542857,11.78,17.860001,4.57
"603",106.5,21.549999,1.92,8.241667,201.425003,15.77,6.1,49.139999,2.89,20.34,14.8,0.1,78.389999,9.9025,5.727143,12.72,18.290001,4.66
"604",105.75,20.09,2.36,7.838333,202.022766,15.675,5.7,48.830002,2.59,20.129999,15.1,0.1,77.099998,9.745,5.561429,12.57,17.65,4.39
"605",107.699997,20.51,2.32,7.946667,204.433731,15.58,5.1,47.970001,2.56,20.450001,14.906667,0.1,77.650002,9.7975,5.505714,12.71,16.99,4.3
