"","TGT.Close","TGT.Volume","FTR.Close","FTR.Volume","UBSI.Close","UBSI.Volume","HD.Close","HD.Volume","JPM.Close","JPM.Volume","XOM.Close","XOM.Volume","CVX.Close","CVX.Volume","NSANY.Close","NSANY.Volume","GNBT.Close","GNBT.Volume","MGM.Close","MGM.Volume","TEVA.Close","TEVA.Volume","HST.Close","HST.Volume","FCAU.Close","FCAU.Volume","WFC.Close","WFC.Volume","WWE.Close","WWE.Volume","INO.Close","INO.Volume","QSR.Close","QSR.Volume","GRPN.Close","GRPN.Volume","SCE.PB.Close","SCE.PB.Volume","FFIN.Close","FFIN.Volume","GOOG.Close","GOOG.Volume","WM.Close","WM.Volume","ONCY.Close","ONCY.Volume","S.Close","S.Volume","GM.Close","GM.Volume","F.Close","F.Volume","ASCCY.Close","ASCCY.Volume","ARWR.Close","ARWR.Volume","COST.Close","COST.Volume","AAL.Close","AAL.Volume","JWN.Close","JWN.Volume","CSSEP.Close","CSSEP.Volume","NUS.Close","NUS.Volume","AMC.Close","AMC.Volume","ADDYY.Close","ADDYY.Volume","KSS.Close","KSS.Volume","MSFT.Close","MSFT.Volume","LUV.Close","LUV.Volume","HMC.Close","HMC.Volume","PCG.Close","PCG.Volume","DLTR.Close","DLTR.Volume","KGJI.Close","KGJI.Volume","NKE.Close","NKE.Volume","AMZN.Close","AMZN.Volume","ROST.Close","ROST.Volume","TMUS.Close","TMUS.Volume","WMT.Close","WMT.Volume","TJX.Close","TJX.Volume","TM.Close","TM.Volume","PBYI.Close","PBYI.Volume","T.Close","T.Volume","JNJ.Close","JNJ.Volume","C.Close","C.Volume","EPD.Close","EPD.Volume","VZ.Close","VZ.Volume","HRB.Close","HRB.Volume","NFLX.Close","NFLX.Volume","AAP.Close","AAP.Volume","HOFT.Close","HOFT.Volume","SIG.Close","SIG.Volume","SDC.Close","SDC.Volume","RRGB.Close","RRGB.Volume","M.Close","M.Volume","JBLU.Close","JBLU.Volume","YELP.Close","YELP.Volume"
"2008-03-20",52.349998,11449800,162.300003,282100,27.799999,838900,28.059999,22243000,45.970001,72777200,85,44962400,83.209999,18373200,16.83,1037900,NA,NA,61.810001,1950200,46.240002,6171300,15.86882,10682100,NA,NA,32.549999,47658600,18.610001,618500,4.32,9000,NA,NA,NA,NA,NA,NA,7,1933200,215.965515,19901000,33.32,4458600,17.385,2400,6.37,57613500,NA,NA,5.62,175819300,NA,NA,27.799999,75800,63.419998,5915700,8.73,4305700,35.220001,6005400,NA,NA,18.99,1100900,NA,NA,30.6,51000,45.549999,6804400,29.18,60170200,12.26,6736500,27.799999,769600,37,2282800,9.6,7190400,0.42,0,16.817499,43300400,73.190002,11410700,7.745,21338000,31.200001,1027800,53.23,44533300,8.4825,32750800,103.160004,560700,NA,NA,36.849998,33274600,65.379997,16276300,225,18090600,14.105,2579800,33.719704,19425600,21.09,4015800,5.177143,23524200,34.16,1357400,22.9,254800,21.42,23400,NA,NA,38.060001,1331300,24.85,7350600,5.56,9203100,NA,NA
"2008-03-24",53.639999,8411100,167.100006,255500,28.59,422100,29.26,25245600,46.549999,66011200,85.949997,22339200,84.010002,9971900,17.879999,623200,NA,NA,63.200001,2459200,45.73,7256600,16.740088,10193600,NA,NA,32.09,45234500,19.379999,625600,4.32,5300,NA,NA,NA,NA,NA,NA,6.94,668800,229.420074,13577600,33.759998,3013300,16.91,1700,6.58,28860300,NA,NA,5.96,55202100,NA,NA,30.299999,38900,65.5,6447700,9.1,2842500,37.540001,5556600,NA,NA,18.790001,644200,NA,NA,30.9,31100,46.57,4899900,29.17,48294700,12.18,5640300,29.700001,810300,37.02,1455400,10.006667,8452200,0.42,1700,17.27,29827600,75.949997,9395400,7.6375,15837600,32.32,1160400,53.630001,22246400,8.5975,26336000,106.07,845700,NA,NA,38.029999,21303400,64.889999,9887900,232.699997,12883500,14.335,1502600,34.513218,13063600,21.93,3519000,5.452857,16856000,35.709999,950300,22.940001,92400,22.24,51800,NA,NA,38.830002,504100,26.33,7322100,5.97,5156500,NA,NA
"2008-03-25",53.439999,8856000,162.600006,333000,28,310800,28.76,18463700,46.060001,54485500,85.199997,27080200,84.540001,12123000,18,603100,NA,NA,64.730003,1463700,45.77,5364800,16.877142,7302100,NA,NA,32.060001,27482600,18.799999,636000,4.2,17200,NA,NA,NA,NA,18.5,100,6.948333,640800,224.54834,11706800,34.259998,3322200,18.049999,1800,6.42,37711000,NA,NA,6,56608700,NA,NA,30.700001,24600,66.589996,7618000,9.12,2034100,37,3264500,NA,NA,18.73,313900,NA,NA,32.290001,30100,46.740002,3951000,29.139999,49149000,12.46,5300500,30.65,856400,36.779999,1496200,9.8,5950800,0.42,0,17.092501,20459600,75.169998,6327500,7.67,11426000,35.52,1241200,53.049999,20327500,8.6125,22670400,106.949997,409000,NA,NA,38,24527900,64.550003,9511900,234.199997,9192600,14.335,1337800,34.447868,15571000,22.040001,3091900,5.302857,12001500,35.400002,843800,22.77,102800,23.9,42300,NA,NA,38.66,255800,25.52,5009800,5.86,5935300,NA,NA
"2008-03-26",52.43,12014500,159.300003,241400,27.559999,290000,28.16,14793500,44.110001,41122700,86.260002,23024000,84.959999,11674800,17.379999,774900,NA,NA,63.330002,861600,45.5,5147000,16.28977,5479400,NA,NA,30.809999,36599400,18.83,442400,4,5500,NA,NA,NA,NA,17.809999,1000,6.918334,440800,228.239502,10490500,34.450001,3863400,16.719999,8000,6.52,48556300,NA,NA,5.87,57327500,NA,NA,30.700001,11700,66.620003,5810600,8.53,1912700,34.43,6410600,NA,NA,18.809999,358500,NA,NA,32.900002,15800,45.169998,3974600,28.559999,45868100,11.8,6850800,30.280001,617800,37.119999,2214900,9.546667,4475000,0.42,0,16.567499,20653600,73.800003,6285100,7.5075,7804000,34.700001,1073200,52.900002,19226400,8.39,19526800,104.209999,369500,NA,NA,37.759998,29294100,64.699997,11354700,220.5,12323100,14.5,941800,33.738373,19511200,21.690001,3312800,5.408571,10948700,35.119999,772000,23.42,112100,24.620001,27000,NA,NA,37.57,275400,24.17,5843000,5.57,7455600,NA,NA
"2008-03-27",50.98,12057900,158.850006,217600,26.84,242200,27.790001,13212700,42.860001,32154500,86.199997,21760300,84.400002,9148200,17.02,466400,NA,NA,60.900002,1061100,46.639999,6448600,16.113558,7417700,NA,NA,30.26,26998000,18.25,522200,3.84,10800,NA,NA,NA,NA,18.49,500,6.83,434400,221.210846,11708000,33.779999,2657900,17.195,1000,6.49,39856200,NA,NA,5.83,61712900,NA,NA,33.5,28000,65.260002,5307400,8.2,3931100,34.59,6068100,NA,NA,18.459999,225800,NA,NA,33.200001,20700,44.52,4947800,28.049999,47894400,12.19,10223100,29.93,427000,36.759998,1566400,9.17,6123000,0.42,0,16.495001,15341200,70.800003,7942400,7.48,7128800,34.080002,789000,52.369999,18981300,8.3175,17975200,102.260002,432700,NA,NA,37.66,16159700,64.620003,10772200,217.899994,10665300,14.375,980600,33.570335,10880200,20.98,3367000,5.194286,12809300,33.91,1141700,22.959999,122100,25.24,43800,NA,NA,37.799999,515600,23.360001,5143600,5.65,4547600,NA,NA
"2008-03-28",49.689999,13370500,156.75,205600,26.190001,178400,27.379999,15818700,42.709999,29011900,85.220001,21672600,84.5,7522200,16.91,615300,NA,NA,58.740002,1735700,46.009998,4346200,15.86882,7823500,NA,NA,29.35,28854000,18.26,354700,3.8,3700,NA,NA,NA,NA,NA,NA,6.768333,486400,218.222046,8785100,33.849998,2103300,16.625,2000,6.41,41953500,NA,NA,5.59,39674800,NA,NA,28.200001,36000,64.370003,3116000,8.57,4160300,32.619999,4703100,NA,NA,18,584700,NA,NA,32.950001,29900,42.330002,7249600,27.91,49244000,12.03,11058300,29.68,406600,36.459999,1498400,9,3938400,0.42,0,16.465,21333200,69.760002,5279100,7.2925,5514800,33.299999,719900,52.119999,15048000,8.1675,21298400,103.790001,1684000,NA,NA,37.66,17293700,64.18,8755200,208.300003,8504300,14.545,1249400,33.467644,11146900,20.959999,2298300,5.084286,9209900,33.380001,824000,22.299999,78700,24.4,43000,NA,NA,36.759998,528100,21.969999,11213200,5.45,4262500,NA,NA
"2008-03-31",50.68,12471200,157.350006,253100,26.65,208300,27.969999,15593400,42.950001,28920400,84.580002,36842400,85.360001,10192000,16.68,1201500,NA,NA,58.77,1275000,46.189999,5993600,15.584924,11554000,NA,NA,29.1,34976200,18.610001,251000,3.84,4600,NA,NA,NA,NA,18.49,500,6.83,594400,219.412582,8926000,33.560001,4043800,17.48,1000,6.69,41114800,NA,NA,5.72,42293600,NA,NA,28.299999,15800,64.970001,4127800,8.91,3180500,32.599998,7146100,NA,NA,18.02,513900,NA,NA,33.299999,28000,42.889999,5244300,28.379999,46780600,12.4,14630000,28.809999,741000,36.82,1791600,9.196667,4285800,0.42,0,17,23122800,71.300003,5470300,7.49,5692000,34,854400,52.68,19594400,8.2675,27110800,100.889999,778100,NA,NA,38.299999,29331500,64.870003,13668500,214.199997,8964100,14.85,1660200,34.027771,12842500,20.76,3879300,4.95,14527800,34.049999,1112700,22.34,71600,24.66,9300,NA,NA,37.57,491800,23.059999,8256200,5.8,6010300,NA,NA
"2008-04-01",53.27,10911300,163.050003,244600,28.43,385400,29.49,20263800,47,54562600,87.019997,23961500,86.739998,11069000,17.049999,1429700,NA,NA,61.490002,1971900,47.290001,5317400,16.651983,11709100,NA,NA,31.49,36070500,18.74,316600,3.6,6400,NA,NA,NA,NA,NA,NA,7.081666,924400,231.985458,12231700,34.310001,3558000,17.385,600,6.68,48193000,NA,NA,5.97,55328600,NA,NA,30.700001,15400,66.489998,5742800,9.63,2736300,34.200001,4861800,NA,NA,18.389999,536600,NA,NA,33.700001,42700,45.59,6508700,29.5,65796200,12.75,15131600,29.879999,573700,38.09,2333600,9.71,4965200,0.42,0,17.3925,18046800,76.699997,9734000,7.7675,7498800,34.68,958100,54.080002,24232600,8.51,29122800,103.279999,1421500,NA,NA,39.48,23519400,65.870003,11204700,238.399994,13529100,15.035,1503200,35.442825,16155400,21.379999,4643000,5.215714,16173500,35.540001,1471600,23.5,124300,25.5,101100,NA,NA,39.950001,581300,24.67,7247800,5.79,5584400,NA,NA
"2008-04-02",53.450001,11549200,161.100006,266500,28.26,287200,29.16,16090000,46.240002,36597900,88.519997,23236000,87.510002,10681700,17.280001,1145500,NA,NA,61.990002,1230100,47.09,4641800,16.720509,8615800,NA,NA,30.530001,37101500,18.530001,356200,3.6,3100,NA,NA,NA,NA,NA,NA,7.061666,367200,231.980484,12042800,34.73,3123000,16.91,2000,6.6,33649300,NA,NA,6.13,65244500,NA,NA,30.200001,11400,66.25,3978400,9.17,2020100,34.669998,4720800,NA,NA,18.25,549500,NA,NA,33.25,26200,45.439999,5749900,29.16,49499400,12.78,7359500,30.389999,561300,38.599998,2385100,10.023334,6095400,0.42,0,16.9925,15547600,77.370003,8592400,7.7475,6686000,36.240002,1654700,54.459999,21720300,8.61,26529200,101.919998,1134300,NA,NA,38.720001,22941600,65.309998,9791500,240.199997,15337300,15.09,1140400,35.602268,15795200,21.26,2158200,5.192857,9599100,35.810001,1280900,23.200001,63300,25.540001,60200,NA,NA,38.959999,598000,24.65,7773200,5.71,3347000,NA,NA
"2008-04-03",53.25,5654700,163.800003,224600,28.02,226500,29.219999,11648300,46.279999,30314400,88.230003,20083800,87.720001,9823600,17.25,1031000,NA,NA,62.130001,1499800,46.610001,3589600,17.063143,5680700,NA,NA,30.790001,20045200,18.51,307600,3.48,14800,NA,NA,NA,NA,NA,NA,6.978333,248800,226.710236,13607500,34.779999,2127200,17.385,1300,6.64,20675100,NA,NA,6.46,67737000,NA,NA,29.700001,7400,66.870003,3128500,9.25,2304400,34.310001,3112700,NA,NA,18.16,481100,NA,NA,33.040001,48000,44.75,5210700,29,38961400,12.71,9799500,29.76,397800,38.599998,2140300,9.943334,3893600,0.42,0,17.225,12903600,74.940002,8149900,7.785,5780000,38.299999,1312100,54.93,23190400,8.5175,16556400,100.040001,1080600,NA,NA,39.009998,18629300,65.269997,7651200,243.600006,7650600,15.15,957800,35.705433,11390700,21.15,3368800,5.332857,8990100,35.84,690000,22.780001,114300,25.620001,30400,NA,NA,39.380001,365800,24.459999,4187800,5.66,2527800,NA,NA
"2008-04-04",52.669998,7002400,161.850006,170200,27.110001,226100,28.790001,13520500,45.57,29875900,88.739998,18607900,88.050003,9750500,16.629999,488800,NA,NA,61.200001,1286100,47.110001,4609900,16.965248,5937400,NA,NA,30.93,25087100,18.440001,265200,3.48,9200,NA,NA,NA,NA,NA,NA,6.848333,376000,234.665421,11838500,34.830002,2035100,16.91,1600,6.52,18220900,NA,NA,6.49,66864300,NA,NA,30.1,8100,66.449997,3712800,9.43,2564600,33.959999,4534200,NA,NA,18.73,336800,NA,NA,32.91,27800,44.82,4159700,29.16,43860800,12.66,6571200,28.82,627600,38.720001,2033000,9.766666,4053200,0.42,0,17.127501,12564800,76.870003,7152800,7.845,9854400,37.200001,1357100,54.400002,20728100,8.29,28987200,97.980003,1236400,NA,NA,38.48,21573700,65.730003,8079600,240.800003,7337000,15.35,857800,35.020775,13660100,21.440001,2163100,5.172857,6877500,35.939999,576100,22.65,87600,25.6,33300,NA,NA,38.59,528700,23.92,4378400,5.67,2819500,NA,NA
"2008-04-07",52.77,6007400,162.75,149500,26.9,322700,28.5,10883600,45.540001,24069200,88.919998,19585500,88.269997,8328300,16.639999,737100,NA,NA,57.880001,3698600,46.25,4166600,17.200195,5511600,NA,NA,30.790001,20142300,19.219999,724700,3.56,21900,NA,NA,NA,NA,NA,NA,6.855,191200,237.519714,11931400,34.860001,1805400,17.385,600,6.81,31063200,NA,NA,6.73,70070200,NA,NA,29.5,29100,66.300003,2927000,9.62,2990600,33.799999,4249800,NA,NA,18.629999,202900,NA,NA,32.950001,55700,43.630001,5534800,29.16,44428600,12.72,4184000,29.190001,925300,39.220001,2616600,9.676666,4193000,0.42,0,16.7075,13005600,76.900002,6672400,7.655,6840000,37.779999,1544600,54.23,18858100,8.035,22320800,97.470001,1166200,NA,NA,39.009998,18652600,66.139999,8901900,246,8925000,15.405,829600,35.077049,12474800,21.41,1578600,5.128572,5357800,35.57,487800,22.549999,86100,25.360001,17500,NA,NA,38.66,402100,23.879999,4072200,5.72,2114000,NA,NA
"2008-04-08",53.259998,7452400,162.75,198700,26.43,328800,28.18,11547400,44.860001,29187700,89.610001,15832200,89.279999,7393100,16.52,1034200,NA,NA,57.799999,3542500,45.939999,3375000,16.847773,4489300,NA,NA,29.93,33757900,19.76,701700,3.64,21700,NA,NA,NA,NA,NA,NA,7.056667,784800,233.03154,9127900,34.82,1923900,17.48,3700,6.64,26585800,NA,NA,6.91,111095900,NA,NA,29.6,17000,66.93,3068300,9.87,1568300,34.009998,3649400,NA,NA,18.469999,336900,NA,NA,32.75,175300,43.360001,4563300,28.75,44733500,12.67,6660200,28.77,609400,39.009998,1262800,9.456667,5147400,0.42,0,16.6325,13129200,77.300003,4966000,7.5775,4614000,40,2910400,54.450001,15757000,8.0725,14871200,96.43,813200,NA,NA,38.799999,19920900,66.32,8861100,237.600006,7866900,15.495,819600,34.467422,14376100,21.709999,2517700,5.271429,6457500,35.560001,607400,22.940001,99400,24.360001,23400,NA,NA,38.599998,265200,24.18,4325700,5.61,7140400,NA,NA
