"Stock","stock5yrMeans","Year","YearMeanValue","Direction5yr10PercentChange","nTimesDecr10_5yr","nTimesIncr10_5yr","nTimesDecrFromZero_5yrs","nTimesIncrFromZero_5yrs"
"HRB.Close",26.6604071315505,2015,33.5730555952381,"",1,NA,2,2
"HRB.Close",26.6604071315505,2016,24.9084920753968,"down10",1,NA,2,2
"HRB.Close",26.6604071315505,2017,25.9171314860558,"up",1,NA,2,2
"HRB.Close",26.6604071315505,2018,26.2284064183267,"up",1,NA,2,2
"HRB.Close",26.6604071315505,2019,25.4877381190476,"down",1,NA,2,2
"HRB.Close",26.6604071315505,2020,23.8476190952381,"down",1,NA,2,2
"HST.Close",18.2532595738633,2015,19.4215476111111,"",2,1,1,1
"HST.Close",18.2532595738633,2016,16.212619015873,"down10",2,1,1,1
"HST.Close",18.2532595738633,2017,18.603864498008,"up10",2,1,1,1
"HST.Close",18.2532595738633,2018,19.9647011832669,"up",2,1,1,1
"HST.Close",18.2532595738633,2019,17.909682468254,"down10",2,1,1,1
"HST.Close",18.2532595738633,2020,17.4071426666667,"down",2,1,1,1
"INO.Close",5.63565154725015,2015,7.70920634920635,"",3,1,NA,1
"INO.Close",5.63565154725015,2016,8.35051587301587,"up",3,1,NA,1
"INO.Close",5.63565154725015,2017,6.28175298804781,"down10",3,1,NA,1
"INO.Close",5.63565154725015,2018,4.70338645418327,"down10",3,1,NA,1
"INO.Close",5.63565154725015,2019,3.1247619047619,"down10",3,1,NA,1
"INO.Close",5.63565154725015,2020,3.64428571428571,"up10",3,1,NA,1
"JBLU.Close",19.6615883299158,2015,21.4940476230159,"",1,NA,2,2
"JBLU.Close",19.6615883299158,2016,19.0905159087302,"down10",1,NA,2,2
"JBLU.Close",19.6615883299158,2017,20.9437052191235,"up",1,NA,2,2
"JBLU.Close",19.6615883299158,2018,19.2078486135458,"down",1,NA,2,2
"JBLU.Close",19.6615883299158,2019,17.9410316626984,"down",1,NA,2,2
"JBLU.Close",19.6615883299158,2020,19.292380952381,"up",1,NA,2,2
"JNJ.Close",126.401366391582,2015,99.7594045674603,"",NA,2,NA,3
"JNJ.Close",126.401366391582,2016,113.607301650794,"up10",NA,2,NA,3
"JNJ.Close",126.401366391582,2017,129.760517884462,"up10",NA,2,NA,3
"JNJ.Close",126.401366391582,2018,133.025458187251,"up",NA,2,NA,3
"JNJ.Close",126.401366391582,2019,134.935040059524,"up",NA,2,NA,3
"JNJ.Close",126.401366391582,2020,147.320476,"up",NA,2,NA,3
"JPM.Close",97.0635266907344,2015,63.8294840873016,"",NA,3,NA,2
"JPM.Close",97.0635266907344,2016,65.6228174365079,"up",NA,3,NA,2
"JPM.Close",97.0635266907344,2017,92.0094818366534,"up10",NA,3,NA,2
"JPM.Close",97.0635266907344,2018,110.723346553785,"up10",NA,3,NA,2
"JPM.Close",97.0635266907344,2019,113.800317563492,"up",NA,3,NA,2
"JPM.Close",97.0635266907344,2020,136.395712666667,"up10",NA,3,NA,2
"JWN.Close",49.6409798692294,2015,72.6979763214286,"",2,1,1,1
"JWN.Close",49.6409798692294,2016,49.2721428928571,"down10",2,1,1,1
"JWN.Close",49.6409798692294,2017,44.9178486494024,"down",2,1,1,1
"JWN.Close",49.6409798692294,2018,53.263625625498,"up10",2,1,1,1
"JWN.Close",49.6409798692294,2019,37.6047620119048,"down10",2,1,1,1
"JWN.Close",49.6409798692294,2020,40.0895237142857,"up",2,1,1,1
"KGJI.Close",1.31737697358713,2015,0.86531746031746,"",2,2,NA,1
"KGJI.Close",1.31737697358713,2016,1.56015873015873,"up10",2,2,NA,1
"KGJI.Close",1.31737697358713,2017,1.68609561752988,"up",2,2,NA,1
"KGJI.Close",1.31737697358713,2018,1.27788844621514,"down10",2,2,NA,1
"KGJI.Close",1.31737697358713,2019,0.961944444444444,"down10",2,2,NA,1
"KGJI.Close",1.31737697358713,2020,1.55285714285714,"up10",2,2,NA,1
"KSS.Close",53.0735338323716,2015,59.8627382142857,"",3,1,1,NA
"KSS.Close",53.0735338323716,2016,44.4618254007936,"down10",3,1,1,NA
"KSS.Close",53.0735338323716,2017,41.5462151115538,"down",3,1,1,NA
"KSS.Close",53.0735338323716,2018,69.0268524342629,"up10",3,1,1,NA
"KSS.Close",53.0735338323716,2019,56.8702381666667,"down10",3,1,1,NA
"KSS.Close",53.0735338323716,2020,46.6733336666667,"down10",3,1,1,NA
