"","AAL","AAP","ADDYY","AMZN","ARWR","C","COST","CVX","DLTR","EPD","F","FFIN","FTR","GOOG","HD","HMC","HOFT","HRB","HST","INO","JBLU","JNJ","JPM","JWN","KGJI","KSS","LUV","M","MGM","MSFT","NFLX","NKE","NSANY","NUS","ONCY","PCG","ROST","RRGB","S","SIG","T","TEVA","TGT","TJX","TM","UBSI","VZ","WFC","WM","WMT","WWE","XOM"
"MedianDecrDayCounts_Jan2007Feb2020"," 5"," 6"," 4"," 7"," 6"," 6"," 4"," 4"," 4"," 4"," 5"," 7"," 8"," 5"," 3"," 3"," 8"," 5"," 6"," 7"," 6"," 4"," 5"," 4"," 3","16"," 3"," 4"," 4"," 4"," 5"," 4"," 5"," 1"," 6"," 4"," 4"," 8","76"," 5"," 4"," 5"," 7"," 6"," 4"," 7"," 4"," 4"," 5"," 5"," 6"," 5"
"Q3DecrDayGroup_Jan2007Feb2020"," 8"," 8"," 6"," 8"," 8","11"," 8"," 5","10"," 8"," 8"," 6"," 5"," 8"," 9"," 9"," 5"," 4"," 4"," 4"," 9"," 4"," 6","11","10","10"," 8"," 8","10"," 6"," 4"," 6"," 7"," 4"," 6","10","10"," 9"," 5"," 6"," 8"," 3"," 8","11"," 6"," 3","10"," 5"," 9"," 6"," 5"," 9"
"Q3DecrDayCounts_Jan2007Feb2020"," 9","12","10","12","14","13","13","11","12","15","11","16","14","11","11","15","13","12","14","18","12","12","11","16","10","11"," 8","11","13","13","12","12","15"," 1","14","12","12","13","81","15","15","17","12","12","10","15","11","13","11","10","12","13"
"MaxDecrDayGroup_Jan2007Feb2020"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1","11"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 7"," 1"," 1"," 1"," 1"," 3"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"
"MaxDecrDayCounts_Jan2007Feb2020"," 71"," 83"," 69"," 68"," 74"," 87"," 79","100"," 80"," 79"," 73"," 96"," 79"," 56"," 84"," 73"," 93"," 89"," 87"," 82"," 84"," 86"," 76"," 65"," 76"," 16"," 83"," 65"," 79"," 74"," 64"," 79"," 87","  1"," 91"," 91"," 86"," 72"," 76"," 76"," 73"," 81"," 75"," 99"," 99","102"," 76"," 85"," 75"," 79"," 83"," 90"
"MedianIncrDayGroup_Jan2007Feb2020","15","12","13","10"," 6","16"," 5","12"," 9","11","13","14","10","11","12","11","12","10","17","18","12","10","15","15","11","10","16","16","15","11","13","12","13"," 4","15"," 9"," 6","13"," 5","11","13"," 6","12","11","10","17","12","12","14","15","11","14"
"MedianIncrDayCounts_Jan2007Feb2020"," 6"," 5"," 6"," 5"," 6"," 6"," 9"," 6"," 7"," 7"," 6"," 8"," 9"," 6"," 7"," 6"," 7"," 8"," 7"," 3"," 7"," 8"," 6"," 7"," 6","11"," 4"," 5"," 6"," 6"," 6"," 7"," 5"," 1"," 6","11"," 9"," 6","81"," 6"," 6"," 6"," 5"," 6"," 7"," 5"," 5"," 7"," 6"," 4"," 8"," 6"
"Q3IncrDayGroup_Jan2007Feb2020"," 5"," 8"," 4"," 5"," 7"," 5"," 6"," 8"," 8"," 6"," 5"," 5"," 5"," 4"," 9"," 9"," 5"," 9"," 5"," 5"," 8"," 4"," 8"," 8","10","11","10","10","10"," 8"," 8"," 8"," 3"," 7","12"," 4"," 8"," 5"," 3"," 9"," 8"," 8"," 9"," 6"," 5"," 6"," 4"," 6"," 8"," 8"," 6"," 8"
"Q3IncrDayCounts_Jan2007Feb2020","13","11","13","15","17","11","19","14","16","14","13","19","13","19","18","11","14","14","13","14","16","20","15","14","10","16","11","12","13","18","14","19","15"," 1","14","16","19","12","76","14","16","19","16","19","16","13","14","15","14","17","14","19"
"MaxIncrDayGroup_Jan2007Feb2020"," 1"," 0"," 0"," 0"," 1"," 1"," 0"," 1"," 0"," 1"," 1"," 0"," 1"," 0"," 0"," 1"," 1"," 1"," 1"," 1"," 1"," 0"," 1"," 1"," 1","10"," 1"," 1"," 1"," 1"," 0"," 0"," 1"," 4"," 1"," 0"," 0"," 1"," 5"," 1"," 1"," 0"," 1"," 0"," 1"," 1"," 1"," 1"," 1"," 0"," 1"," 0"
