"Year","Annual_UE","stock","stockInfo","stockExchange","stock5yrMeans","YearMeanValue","Direction5yr10PercentChange","nTimesDecr10_5yr","nTimesIncr10_5yr","nTimesDecrFromZero_5yrs","nTimesIncrFromZero_5yrs","YearMeanGreaterThan5yrMean"
2016,4.88,"C","Citigroup Inc. (C)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",63.6453837411413,46.386111281746,"down10",1,2,1,1,0
2016,4.88,"HD","The Home Depot, Inc. (HD)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",170.802718858724,129.820317527778,"up10",0,3,0,2,0
2016,4.88,"TEVA","Teva Pharmaceutical Industries Limited (TEVA)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",30.0819310392135,50.9552778928571,"down10",5,0,0,0,1
2016,4.88,"XOM","Exxon Mobil Corporation (XOM)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",78.7369955725405,86.219682468254,"up",0,0,4,1,1
2016,4.88,"AAL","American Airlines Group Inc. (AAL)
NasdaqGS - NasdaqGS Real Time Price. Currency in USD","Nasdaq",38.6737054883561,38.1838491230159,"down10",3,1,1,0,0
2016,4.88,"LUV","Southwest Airlines Co. (LUV)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",50.5661435154014,41.5830952380952,"up",0,1,2,2,0
2016,4.88,"ONCY","Oncolytics Biotech Inc. (ONCY)
NasdaqCM - NasdaqCM Real Time Price. Currency in USD","Nasdaq",3.68625059286663,2.95517857142857,"down10",2,3,0,0,0
2016,4.88,"S","Sprint Corporation (S)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",5.72459165981576,5.06992063492063,"up10",2,3,0,0,0
2016,4.88,"AAP","Advance Auto Parts, Inc. (AAP)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",147.886972418024,155.488135111111,"down",1,2,2,0,1
2016,4.88,"NSANY","Nissan Motor Co., Ltd. (NSANY)
Other OTC - Other OTC Delayed Price. Currency in USD","Other OTC",17.2846980173222,19.0858729920635,"down",2,0,2,1,1
2016,4.88,"HRB","H&R Block, Inc. (HRB)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",26.6604071315505,24.9084920753968,"down10",1,0,2,2,0
2016,4.88,"PCG","PG&E Corporation (PCG)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",40.9263597885073,59.8014285595238,"up10",3,1,0,1,1
2016,4.88,"WM","Waste Management, Inc. (WM)
NYSE - NYSE Delayed Price. Currency in USD","NYSE",83.9403728867572,62.0321032896825,"up10",0,4,0,1,0
2016,4.88,"ADDYY","adidas AG (ADDYY)
Other OTC - Other OTC Delayed Price. Currency in USD","Other OTC",105.694756240604,69.1715079523809,"up10",0,5,0,0,0
